Estado - Sigla,Municipio,Cep,Data_semana,mean,median,sum,std
AL,ARAPIRACA,57302-802,2023-01-02,4.89,4.89,4.89,
AL,ARAPIRACA,57302-802,2023-01-09,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-01-16,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-01-23,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-01-30,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-02-06,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-02-13,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-02-20,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-02-27,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-03-06,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-03-13,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-03-20,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-03-27,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-04-03,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-04-10,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-04-17,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-04-24,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-05-01,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-05-08,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-05-15,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-05-22,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-05-29,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-06-05,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-06-12,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-06-19,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-06-26,4.49,4.49,4.49,
AL,ARAPIRACA,57302-802,2023-07-03,4.79,4.79,4.79,
AL,ARAPIRACA,57302-802,2023-07-10,4.79,4.79,4.79,
AL,ARAPIRACA,57302-802,2023-07-24,4.79,4.79,4.79,
AL,ARAPIRACA,57302-802,2023-07-31,4.79,4.79,4.79,
AL,ARAPIRACA,57302-802,2023-08-07,4.79,4.79,4.79,
AL,ARAPIRACA,57302-802,2023-08-14,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-08-21,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-08-28,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-09-04,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-09-11,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-09-18,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-10-02,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-10-09,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-10-16,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-10-23,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-10-30,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-11-06,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-11-13,4.59,4.59,4.59,
AL,ARAPIRACA,57302-802,2023-11-20,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-11-27,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-12-04,4.69,4.69,4.69,
