Estado - Sigla,Municipio,Cep,Data_semana,mean,median,sum,std
AL,ARAPIRACA,57302-802,2023-12-11,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-12-18,4.69,4.69,4.69,
AL,ARAPIRACA,57302-802,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57030-000,2023-03-20,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-01-02,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-01-09,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-01-16,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-01-23,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-01-30,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-02-06,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-02-13,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-02-20,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-02-27,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-03-06,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-03-13,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-03-20,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-03-27,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-04-10,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-06-12,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-07-03,4.59,4.59,4.59,
AL,MACEIO,57035-180,2023-07-10,4.79,4.79,4.79,
AL,MACEIO,57035-180,2023-07-24,4.79,4.79,4.79,
AL,MACEIO,57035-180,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57035-180,2023-08-07,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-08-14,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-09-04,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-09-11,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-09-18,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-10-02,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-10-16,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-10-23,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-10-30,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-11-13,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-12-04,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-12-11,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57035-180,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57035-700,2023-07-24,4.79,4.79,4.79,
AL,MACEIO,57035-700,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57035-700,2023-08-14,4.69,4.69,4.69,
AL,MACEIO,57038-000,2023-03-20,4.59,4.59,4.59,
AL,MACEIO,57038-000,2023-11-27,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-01-02,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-01-09,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-01-16,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-01-23,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-01-30,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-02-06,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-02-13,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-02-20,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-02-27,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-03-06,4.57,4.57,4.57,
AL,MACEIO,57040-480,2023-03-13,4.57,4.57,4.57,
AL,MACEIO,57040-480,2023-03-27,4.57,4.57,4.57,
AL,MACEIO,57040-480,2023-04-03,4.57,4.57,4.57,
AL,MACEIO,57040-480,2023-04-10,4.57,4.57,4.57,
AL,MACEIO,57040-480,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-06-05,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-06-12,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57040-480,2023-07-03,4.89,4.89,4.89,
AL,MACEIO,57040-480,2023-07-10,4.79,4.79,4.79,
AL,MACEIO,57040-480,2023-07-17,4.79,4.79,4.79,
AL,MACEIO,57040-480,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57040-480,2023-08-21,4.79,4.79,4.79,
AL,MACEIO,57040-480,2023-08-28,4.79,4.79,4.79,
AL,MACEIO,57040-480,2023-09-25,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-10-09,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-11-06,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-11-27,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57040-480,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57041-000,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57041-000,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57052-400,2023-08-21,4.69,4.69,4.69,
AL,MACEIO,57052-400,2023-08-28,4.69,4.69,4.69,
AL,MACEIO,57052-400,2023-09-25,4.69,4.69,4.69,
AL,MACEIO,57052-400,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-08-21,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-08-28,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-09-25,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-11-20,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57055-000,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57057-250,2023-01-02,4.59,4.59,4.59,
AL,MACEIO,57057-250,2023-01-09,4.59,4.59,4.59,
AL,MACEIO,57057-250,2023-01-16,4.59,4.59,4.59,
AL,MACEIO,57057-250,2023-01-23,4.69,4.69,4.69,
AL,MACEIO,57057-250,2023-01-30,4.69,4.69,4.69,
AL,MACEIO,57057-250,2023-02-06,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-02-13,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-02-20,3.88,3.88,3.88,
AL,MACEIO,57057-250,2023-02-27,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-03-06,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-03-13,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-03-20,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-03-27,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-04-03,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-04-10,4.58,4.58,4.58,
AL,MACEIO,57057-250,2023-04-17,4.67,4.67,4.67,
AL,MACEIO,57057-250,2023-04-24,4.67,4.67,4.67,
AL,MACEIO,57057-250,2023-05-01,4.67,4.67,4.67,
AL,MACEIO,57057-250,2023-05-08,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-05-15,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-05-22,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-05-29,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-06-05,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-06-12,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-06-19,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-06-26,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-07-03,4.57,4.57,4.57,
AL,MACEIO,57057-250,2023-07-10,4.57,4.57,4.57,
AL,MACEIO,57057-450,2023-08-21,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-08-28,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-09-25,4.29,4.29,4.29,
AL,MACEIO,57057-450,2023-10-09,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-11-06,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-11-20,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-11-27,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-12-18,4.69,4.69,4.69,
AL,MACEIO,57057-450,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-01-02,4.99,4.99,4.99,
AL,MACEIO,57061-000,2023-01-09,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-01-16,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-01-23,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-01-30,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-02-06,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-02-13,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-02-20,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-02-27,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-03-06,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-03-13,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-03-27,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-04-03,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-04-10,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-06-05,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57061-000,2023-07-03,4.79,4.79,4.79,
AL,MACEIO,57061-000,2023-07-10,4.79,4.79,4.79,
AL,MACEIO,57061-000,2023-07-17,4.79,4.79,4.79,
AL,MACEIO,57061-000,2023-07-24,4.79,4.79,4.79,
AL,MACEIO,57061-000,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57061-000,2023-08-07,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-08-14,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-08-21,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-08-28,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-09-04,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-09-11,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-09-18,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-09-25,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-10-02,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-10-09,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-10-16,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-10-23,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-10-30,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-11-06,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-11-13,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-11-27,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-12-04,4.69,4.69,4.69,
AL,MACEIO,57061-000,2023-12-11,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-01-02,4.54,4.54,4.54,
AL,MACEIO,57080-000,2023-01-09,4.54,4.54,4.54,
AL,MACEIO,57080-000,2023-01-16,4.54,4.54,4.54,
AL,MACEIO,57080-000,2023-01-23,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-01-30,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-02-06,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-02-13,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-02-20,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-02-27,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-03-06,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-03-13,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-03-27,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-04-03,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-04-10,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-06-05,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57080-000,2023-07-03,4.83,4.83,4.83,
AL,MACEIO,57080-000,2023-07-10,4.79,4.79,4.79,
AL,MACEIO,57080-000,2023-07-17,4.79,4.79,4.79,
AL,MACEIO,57080-000,2023-07-24,4.79,4.79,4.79,
AL,MACEIO,57080-000,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57080-000,2023-08-07,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-08-14,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-08-21,4.69,4.69,9.38,0.0
AL,MACEIO,57080-000,2023-08-28,4.69,4.69,9.38,0.0
AL,MACEIO,57080-000,2023-09-04,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-09-11,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-09-18,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-09-25,4.69,4.69,9.38,0.0
AL,MACEIO,57080-000,2023-10-02,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-10-09,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-10-16,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-10-23,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-10-30,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-11-06,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-11-13,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-11-20,4.69,4.69,9.38,0.0
AL,MACEIO,57080-000,2023-11-27,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-12-04,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-12-11,4.69,4.69,4.69,
AL,MACEIO,57080-000,2023-12-25,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-01-02,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-01-09,4.76,4.76,4.76,
AL,MACEIO,57083-410,2023-01-16,4.67,4.67,4.67,
AL,MACEIO,57083-410,2023-01-23,4.67,4.67,4.67,
AL,MACEIO,57083-410,2023-01-30,4.67,4.67,4.67,
AL,MACEIO,57083-410,2023-02-06,4.67,4.67,4.67,
AL,MACEIO,57083-410,2023-02-13,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-02-20,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-02-27,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-03-06,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-03-13,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-03-20,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-03-27,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-04-03,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-04-10,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-06-05,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-06-12,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57083-410,2023-07-03,4.79,4.79,4.79,
AL,MACEIO,57083-410,2023-07-10,4.79,4.79,4.79,
AL,MACEIO,57083-410,2023-07-17,4.79,4.79,4.79,
AL,MACEIO,57083-410,2023-07-24,4.79,4.79,4.79,
AL,MACEIO,57083-410,2023-07-31,4.79,4.79,4.79,
AL,MACEIO,57083-410,2023-08-07,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-08-14,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-09-04,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-09-11,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-09-18,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-10-02,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-10-16,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-10-23,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-10-30,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-11-13,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-12-04,4.69,4.69,4.69,
AL,MACEIO,57083-410,2023-12-11,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-01-02,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-01-23,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-01-30,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-02-06,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-02-20,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-02-27,4.67,4.67,4.67,
AL,MACEIO,57084-440,2023-03-06,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-03-13,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-03-27,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-04-03,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-04-10,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-04-17,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-04-24,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-05-01,4.69,4.69,4.69,
AL,MACEIO,57084-440,2023-05-08,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-05-15,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-05-22,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-05-29,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-06-12,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-06-19,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-06-26,4.59,4.59,4.59,
AL,MACEIO,57084-440,2023-07-03,4.79,4.79,4.79,
AL,MACEIO,57084-440,2023-07-17,4.79,4.79,4.79,
AL,MACEIO,57084-440,2023-11-06,4.79,4.79,4.79,
AL,MACEIO,57084-440,2023-11-27,4.79,4.79,4.79,
AL,PALMEIRA DOS INDIOS,57605-260,2023-01-23,5.27,5.27,5.27,
AL,PALMEIRA DOS INDIOS,57605-260,2023-05-29,5.07,5.07,5.07,
AL,PALMEIRA DOS INDIOS,57605-260,2023-06-05,4.99,4.99,4.99,
AL,PALMEIRA DOS INDIOS,57605-260,2023-06-12,4.99,4.99,4.99,
AL,PALMEIRA DOS INDIOS,57605-260,2023-06-19,4.99,4.99,4.99,
AL,PALMEIRA DOS INDIOS,57605-260,2023-06-26,4.99,4.99,4.99,
AL,PALMEIRA DOS INDIOS,57605-260,2023-07-03,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-07-10,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-07-17,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-07-24,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-07-31,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-08-07,5.14,5.14,5.14,
AL,PALMEIRA DOS INDIOS,57605-260,2023-08-14,5.14,5.14,5.14,
AL,PALMEIRA DOS INDIOS,57605-260,2023-08-21,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-08-28,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-09-04,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-09-11,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-09-18,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-09-25,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-10-02,5.54,5.54,5.54,
AL,PALMEIRA DOS INDIOS,57605-260,2023-10-09,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-10-16,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-10-23,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-10-30,5.24,5.24,5.24,
AL,PALMEIRA DOS INDIOS,57605-260,2023-11-06,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-11-13,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-11-20,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-11-27,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-12-11,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-12-18,5.34,5.34,5.34,
AL,PALMEIRA DOS INDIOS,57605-260,2023-12-25,5.34,5.34,5.34,
AL,RIO LARGO,57100-000,2023-02-27,4.59,4.59,4.59,
AL,RIO LARGO,57100-000,2023-03-06,4.59,4.59,4.59,
AL,RIO LARGO,57100-000,2023-03-20,4.59,4.59,4.59,
AL,RIO LARGO,57100-000,2023-03-27,4.59,4.59,4.59,
AL,RIO LARGO,57100-000,2023-04-17,4.65,4.65,4.65,
AL,RIO LARGO,57100-000,2023-04-24,4.67,4.67,9.34,0.02828427124746224
AL,RIO LARGO,57100-000,2023-05-22,4.59,4.59,4.59,
AL,RIO LARGO,57100-000,2023-05-29,4.59,4.59,9.18,0.0
AL,RIO LARGO,57100-000,2023-06-05,4.59,4.59,9.18,0.0
AL,RIO LARGO,57100-000,2023-06-12,4.59,4.59,9.18,0.0
AL,RIO LARGO,57100-000,2023-06-19,4.59,4.59,9.18,0.0
AL,RIO LARGO,57100-000,2023-06-26,4.59,4.59,9.18,0.0
AL,RIO LARGO,57100-000,2023-07-03,4.79,4.79,9.58,0.0
AL,RIO LARGO,57100-000,2023-07-10,4.79,4.79,9.58,0.0
AL,RIO LARGO,57100-000,2023-07-17,4.79,4.79,9.58,0.0
